2018-07-02 at 10:05:51 CST INFO  org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry 547 register - Mapped "{[/client],methods=[GET]}" onto public java.lang.String demo.DiscoveryController.client()
2018-07-02 at 10:05:51 CST INFO  org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry 547 register - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-07-02 at 10:05:51 CST INFO  org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry 547 register - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-07-02 at 10:05:51 CST INFO  org.springframework.web.servlet.handler.AbstractUrlHandlerMapping 373 registerHandler - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-07-02 at 10:05:51 CST INFO  org.springframework.web.servlet.handler.AbstractUrlHandlerMapping 373 registerHandler - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-07-02 at 10:05:51 CST INFO  org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver 59 <init> - Exposing 2 endpoint(s) beneath base path '/actuator'
2018-07-02 at 10:05:51 CST INFO  org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry 547 register - Mapped "{[/actuator/health],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping$OperationHandler.handle(javax.servlet.http.HttpServletRequest,java.util.Map<java.lang.String, java.lang.String>)
2018-07-02 at 10:05:51 CST INFO  org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry 547 register - Mapped "{[/actuator/info],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping$OperationHandler.handle(javax.servlet.http.HttpServletRequest,java.util.Map<java.lang.String, java.lang.String>)
2018-07-02 at 10:05:51 CST INFO  org.springframework.web.servlet.handler.AbstractHandlerMethodMapping$MappingRegistry 547 register - Mapped "{[/actuator],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto protected java.util.Map<java.lang.String, java.util.Map<java.lang.String, org.springframework.boot.actuate.endpoint.web.Link>> org.springframework.boot.actuate.endpoint.web.servlet.WebMvcEndpointHandlerMapping.links(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-07-02 at 10:05:51 CST INFO  org.springframework.jmx.export.MBeanExporter 433 afterSingletonsInstantiated - Registering beans for JMX exposure on startup
2018-07-02 at 10:05:51 CST INFO  org.springframework.jmx.export.MBeanExporter 895 autodetect - Bean with name 'environmentManager' has been autodetected for JMX exposure
2018-07-02 at 10:05:51 CST INFO  org.springframework.jmx.export.MBeanExporter 895 autodetect - Bean with name 'configurationPropertiesRebinder' has been autodetected for JMX exposure
2018-07-02 at 10:05:51 CST INFO  org.springframework.jmx.export.MBeanExporter 895 autodetect - Bean with name 'refreshScope' has been autodetected for JMX exposure
2018-07-02 at 10:05:51 CST INFO  org.springframework.jmx.export.MBeanExporter 675 registerBeanInstance - Located managed bean 'environmentManager': registering with JMX server as MBean [org.springframework.cloud.context.environment:name=environmentManager,type=EnvironmentManager]
2018-07-02 at 10:05:51 CST INFO  org.springframework.jmx.export.MBeanExporter 675 registerBeanInstance - Located managed bean 'refreshScope': registering with JMX server as MBean [org.springframework.cloud.context.scope.refresh:name=refreshScope,type=RefreshScope]
2018-07-02 at 10:05:51 CST INFO  org.springframework.jmx.export.MBeanExporter 675 registerBeanInstance - Located managed bean 'configurationPropertiesRebinder': registering with JMX server as MBean [org.springframework.cloud.context.properties:name=configurationPropertiesRebinder,context=1021f6c9,type=ConfigurationPropertiesRebinder]
2018-07-02 at 10:05:51 CST INFO  org.springframework.context.support.DefaultLifecycleProcessor$LifecycleGroup 351 start - Starting beans in phase 0
2018-07-02 at 10:05:51 CST INFO  org.springframework.cloud.netflix.eureka.InstanceInfoFactory 71 create - Setting initial instance status as: STARTING
2018-07-02 at 10:05:51 CST INFO  com.netflix.discovery.DiscoveryClient 349 <init> - Initializing Eureka in region us-east-1
2018-07-02 at 10:05:52 CST INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider 70 <init> - Using JSON encoding codec LegacyJacksonJson
2018-07-02 at 10:05:52 CST INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider 71 <init> - Using JSON decoding codec LegacyJacksonJson
2018-07-02 at 10:05:52 CST INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider 80 <init> - Using XML encoding codec XStreamXml
2018-07-02 at 10:05:52 CST INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider 81 <init> - Using XML decoding codec XStreamXml
2018-07-02 at 10:05:52 CST INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver 43 getClusterEndpoints - Resolving eureka endpoints via configuration
2018-07-02 at 10:05:52 CST INFO  com.netflix.discovery.DiscoveryClient 958 fetchRegistry - Disable delta property : false
